Store,Weekly_Sales
1,21710.54362
2,26898.07003
3,6373.033983
4,29161.21041
5,5053.415813
6,21913.24362
7,8358.766148
8,13133.01477
9,8772.890379
10,26332.30382
11,19276.76275
12,14867.30862
13,27355.13689
14,28784.85173
15,9002.493073
16,7863.224124
17,12954.39364
18,15733.31314
19,20362.12673
20,29508.30159
21,11283.4355
22,15181.21889
23,19776.18088
24,18969.1065
25,10308.15781
26,14554.12967
27,24826.98454
28,18714.8898
29,8158.810609
30,8764.237719
31,19681.90746
32,16351.62185
33,5728.414053
34,13522.08167
35,13803.59699
36,8584.412563
37,10297.35503
38,7492.47846
39,21000.76356
40,13763.6328
41,17976.00465
42,11443.37012
43,13415.11412
44,6038.929814
45,11662.89731
